timestamp_ms,ax_g,ay_g,az_g
81447,-1.033,0.544,0.719
81457,-1.051,0.642,0.677
81467,-1.047,0.67,0.669
81477,-1.041,0.594,0.713
81487,-1.044,0.436,0.776
81497,-1.04,0.229,0.806
81507,-1.031,0.012,0.853
81517,-0.994,-0.145,0.89
81530,-0.907,-0.296,0.862
81540,-0.894,-0.294,0.86
81550,-0.893,-0.257,0.852
81560,-0.878,-0.213,0.843
81570,-0.878,-0.213,0.795
81580,-0.871,-0.178,0.796
81590,-0.865,-0.146,0.766
81600,-0.87,-0.124,0.723
81610,-0.88,-0.128,0.685
81620,-0.89,-0.16,0.639
81630,-0.871,-0.224,0.639
81640,-0.849,-0.31,0.656
81650,-0.816,-0.407,0.678
81660,-0.77,-0.503,0.687
81670,-0.75,-0.595,0.712
81680,-0.731,-0.649,0.71
81690,-0.732,-0.663,0.687
81700,-0.748,-0.633,0.671
81710,-0.786,-0.579,0.646
81720,-0.788,-0.552,0.59
81730,-0.766,-0.578,0.536
81740,-0.728,-0.599,0.529
81750,-0.675,-0.617,0.51
81760,-0.618,-0.63,0.49
81770,-0.587,-0.659,0.483
81780,-0.584,-0.708,0.487
81790,-0.595,-0.742,0.492
81800,-0.611,-0.75,0.451
81810,-0.626,-0.703,0.389
81820,-0.622,-0.604,0.316
81830,-0.629,-0.487,0.299
81840,-0.659,-0.405,0.327
81850,-0.717,-0.422,0.37
81860,-0.762,-0.522,0.408
81870,-0.805,-0.63,0.462
81880,-0.831,-0.692,0.529
81890,-0.829,-0.692,0.543
81900,-0.827,-0.654,0.531
81910,-0.836,-0.617,0.508
81920,-0.857,-0.604,0.5
81930,-0.857,-0.61,0.454
81940,-0.845,-0.628,0.421
81950,-0.824,-0.629,0.441
81960,-0.804,-0.613,0.498
81970,-0.802,-0.594,0.586
81980,-0.805,-0.551,0.605
81990,-0.824,-0.49,0.573
82000,-0.873,-0.457,0.518
82010,-0.946,-0.497,0.467
82020,-1.006,-0.578,0.432
82030,-1.019,-0.627,0.414
82040,-1.004,-0.605,0.399
82050,-1.015,-0.532,0.388
82060,-1.051,-0.434,0.366
82070,-1.117,-0.35,0.343
82080,-1.19,-0.32,0.309
82090,-1.243,-0.345,0.288
82100,-1.249,-0.375,0.249
82110,-1.214,-0.371,0.197
82120,-1.188,-0.325,0.147
82130,-1.206,-0.272,0.134
82140,-1.263,-0.22,0.153
82150,-1.311,-0.18,0.148
82160,-1.337,-0.18,0.109
82170,-1.363,-0.225,0.067
82180,-1.392,-0.306,0.024
82190,-1.408,-0.363,-0.007
82200,-1.404,-0.362,-0.033
82210,-1.374,-0.293,-0.072
82220,-1.345,-0.18,-0.105
82230,-1.329,-0.078,-0.141
82240,-1.324,0.001,-0.192
82250,-1.344,0.042,-0.233
82260,-1.384,0.054,-0.253
82270,-1.44,0.029,-0.255
82280,-1.477,-0.021,-0.249
82290,-1.488,-0.085,-0.237
82300,-1.477,-0.134,-0.215
82310,-1.443,-0.154,-0.195
82320,-1.381,-0.137,-0.194
82330,-1.298,-0.088,-0.226
82340,-1.218,-0.007,-0.265
82350,-1.175,0.094,-0.266
82360,-1.171,0.185,-0.249
82370,-1.2,0.243,-0.207
82380,-1.232,0.262,-0.158
82390,-1.244,0.216,-0.118
82400,-1.244,0.129,-0.085
82410,-1.242,0.054,-0.042
82420,-1.213,0.02,0.007
82430,-1.171,0.021,0.046
82440,-1.127,0.051,0.062
82450,-1.087,0.111,0.052
82460,-1.064,0.182,0.028
82470,-1.053,0.26,0.027
82480,-1.049,0.342,0.072
82490,-1.047,0.395,0.156
82500,-1.047,0.395,0.156
82510,-1.043,0.404,0.265
82520,-1.047,0.364,0.342
82530,-1.042,0.298,0.377
82540,-1.021,0.218,0.39
82550,-1.0,0.172,0.389
82560,-0.954,0.168,0.375
82570,-0.917,0.198,0.37
82580,-0.903,0.233,0.365
82590,-0.909,0.27,0.368
82600,-0.935,0.301,0.37
82610,-0.965,0.311,0.345
82620,-0.974,0.305,0.3
82630,-0.948,0.289,0.245
82640,-0.906,0.278,0.205
82650,-0.864,0.268,0.196
82660,-0.828,0.256,0.212
82670,-0.793,0.244,0.225
82680,-0.748,0.23,0.241
82690,-0.702,0.22,0.254
82700,-0.664,0.218,0.264
82710,-0.629,0.23,0.275
82720,-0.6,0.252,0.271
82730,-0.557,0.286,0.253
82740,-0.507,0.32,0.237
82750,-0.453,0.327,0.238
82760,-0.396,0.31,0.253
82770,-0.35,0.284,0.272
82780,-0.324,0.264,0.298
82790,-0.336,0.238,0.338
82800,-0.368,0.219,0.373
82810,-0.406,0.21,0.403
82820,-0.429,0.214,0.438
