timestamp_ms,ax_g,ay_g,az_g
100125,-0.697,0.799,0.089
100135,-0.627,0.863,0.091
100145,-0.559,0.927,0.095
100155,-0.498,0.978,0.089
100165,-0.459,1.019,0.059
100175,-0.451,1.046,-0.011
100185,-0.448,1.046,-0.027
100195,-0.4,0.966,0.133
100205,-0.391,0.961,0.133
100215,-0.269,0.763,0.397
100225,-0.093,0.498,0.565
100235,0.058,0.236,0.622
100245,0.159,0.059,0.649
100255,0.226,0.003,0.676
100265,0.237,0.062,0.687
100275,0.215,0.12,0.672
100285,0.18,0.126,0.659
100295,0.172,0.132,0.661
100305,0.19,0.184,0.639
100315,0.226,0.29,0.653
100325,0.27,0.422,0.689
100335,0.332,0.552,0.71
100345,0.392,0.654,0.699
100355,0.443,0.719,0.709
100365,0.475,0.745,0.725
100375,0.498,0.733,0.743
100385,0.538,0.698,0.777
100395,0.59,0.646,0.792
100405,0.66,0.574,0.832
100415,0.724,0.493,0.904
100425,0.76,0.404,0.945
100435,0.772,0.316,0.956
100445,0.78,0.231,0.937
100455,0.805,0.167,0.934
100465,0.852,0.113,0.957
100475,0.884,0.071,0.965
100485,0.898,0.041,0.973
100495,0.879,0.02,0.952
100505,0.882,0.008,0.943
100515,0.908,0.011,0.944
100525,0.938,0.013,0.919
100535,0.97,0.01,0.906
100545,0.996,-0.007,0.888
100555,1.022,-0.031,0.898
100565,1.032,-0.048,0.933
100575,1.014,-0.049,0.935
100585,0.976,-0.05,0.902
100595,0.95,-0.065,0.854
100605,0.955,-0.096,0.812
100615,0.994,-0.122,0.798
100625,1.026,-0.133,0.791
100635,1.025,-0.136,0.771
100645,1.006,-0.143,0.743
100655,0.984,-0.124,0.727
100665,0.985,-0.09,0.703
100675,0.998,-0.065,0.668
100685,1.018,-0.059,0.618
100695,1.039,-0.07,0.571
100705,1.054,-0.098,0.523
100715,1.067,-0.145,0.473
100725,1.09,-0.196,0.439
100735,1.122,-0.245,0.423
100745,1.16,-0.294,0.406
100755,1.189,-0.354,0.383
100765,1.191,-0.411,0.359
100775,1.177,-0.455,0.344
100785,1.15,-0.47,0.342
100795,1.125,-0.465,0.366
100805,1.104,-0.448,0.383
100815,1.082,-0.434,0.393
100825,1.062,-0.428,0.384
100835,1.046,-0.424,0.36
100845,1.038,-0.422,0.332
100855,1.043,-0.411,0.311
100865,1.069,-0.383,0.306
100875,1.105,-0.356,0.299
100885,1.148,-0.346,0.292
100895,1.191,-0.326,0.281
100905,1.203,-0.317,0.275
100915,1.193,-0.291,0.277
100925,1.174,-0.253,0.274
100935,1.147,-0.198,0.277
100945,1.129,-0.144,0.277
100955,1.122,-0.109,0.261
100965,1.121,-0.109,0.245
100975,1.118,-0.122,0.235
100985,1.117,-0.125,0.235
100995,1.112,-0.108,0.24
101005,1.122,-0.089,0.253
101015,1.147,-0.072,0.253
101025,1.19,-0.06,0.262
101035,1.231,-0.056,0.25
101045,1.256,-0.05,0.234
101055,1.263,-0.036,0.225
101065,1.257,-0.031,0.221
101075,1.244,-0.036,0.202
101085,1.231,-0.035,0.176
101095,1.228,-0.024,0.15
101105,1.239,-0.008,0.141
101115,1.249,-0.016,0.123
101125,1.253,-0.047,0.084
101135,1.252,-0.057,0.053
101145,1.252,-0.049,0.05
101155,1.257,-0.025,0.062
101165,1.261,0.002,0.069
101175,1.261,0.002,0.069
101185,1.258,0.015,0.066
101195,1.238,0.02,0.066
101205,1.175,0.028,0.047
101215,1.107,0.044,0.019
101225,1.034,0.062,0.019
101235,0.974,0.066,0.003
101245,0.956,0.066,0.01
101255,0.981,0.073,0.01
101265,1.05,0.089,0.008
101275,1.13,0.109,-0.011
101285,1.195,0.128,-0.029
101295,1.229,0.157,-0.036
101305,1.228,0.208,-0.044
101315,1.196,0.281,-0.038
101325,1.157,0.36,-0.024
101335,1.113,0.435,-0.003
101345,1.087,0.508,0.026
101355,1.084,0.583,0.053
101365,1.103,0.642,0.065
101375,1.143,0.675,0.082
101385,1.193,0.689,0.087
101395,1.233,0.693,0.091
101405,1.248,0.692,0.099
101415,1.246,0.676,0.104
101425,1.232,0.644,0.099
101435,1.24,0.617,0.1
101445,1.267,0.59,0.099
101455,1.318,0.558,0.108
101465,1.376,0.524,0.112
101475,1.422,0.491,0.124
101485,1.453,0.468,0.147
101495,1.467,0.457,0.17
101505,1.475,0.449,0.183
101515,1.479,0.443,0.192
101525,1.491,0.448,0.198
101535,1.511,0.472,0.213
101545,1.535,0.507,0.206
101555,1.567,0.57,0.181
101565,1.62,0.659,0.138
101575,1.695,0.774,0.089
101585,1.77,0.892,0.058
101595,1.795,0.997,0.038
101605,1.752,1.082,0.039
101615,1.653,1.135,0.065
101625,1.532,1.172,0.103
101635,1.41,1.183,0.166
101645,1.312,1.174,0.243
101655,1.214,1.147,0.303
101665,1.136,1.106,0.342
101675,1.096,1.057,0.362
101685,1.091,1.01,0.38
101695,1.109,0.967,0.384
101705,1.143,0.919,0.387
101715,1.19,0.864,0.389
101725,1.226,0.797,0.394
101735,1.247,0.741,0.405
101745,1.258,0.696,0.408
101755,1.25,0.649,0.392
101765,1.227,0.599,0.373
101775,1.189,0.551,0.364
101785,1.129,0.515,0.368
101795,1.059,0.5,0.377
101805,0.978,0.497,0.38
101815,0.899,0.511,0.377
101825,0.834,0.519,0.393
101835,0.778,0.514,0.427
101845,0.707,0.505,0.461
101855,0.617,0.496,0.479
101865,0.53,0.489,0.483
